Frame,Blender_Distance,Predicted_Distance,Absolute_Error,Relative_Error_%
1,29.8370507753944,29.495050910222776,0.34199986517162273,1.146225435436328
2,29.832939972168155,29.490727930502945,0.3422120416652099,1.1470945940442596
3,29.82062139950347,29.47052516624955,0.35009623325391814,1.1740071696150083
4,29.800137246557107,29.4587977788796,0.341339467677507,1.1454291799174277
5,29.77155752798229,,,
6,29.734980426186866,,,
7,29.690531077820783,29.38345048687935,0.3070805909414318,1.0342711288543607
8,29.638361709802723,29.28346366867835,0.35489804112437184,1.1974279975366902
9,29.57865170894648,29.161430469606763,0.41722123933971744,1.4105485383349066
10,29.511605893380576,29.1335117536581,0.3780941397224744,1.2811710114605472
11,29.43745573549475,29.1036975161406,0.3337582193541522,1.1337875880071968
12,29.35645603738604,28.92707506864644,0.4293809687395971,1.462645791415598
13,29.268886105267697,,,
14,29.175048659545435,28.77873925650812,0.3963094030373142,1.3583847199776666
15,29.075268804545072,28.69793414488612,0.37733465965895263,1.2977856273506485
16,28.9698914663734,28.52702253968297,0.44286892669043,1.5287213871839562
17,28.85928176851481,28.44520791848645,0.41407385002835895,1.4348030326940062
18,28.743824168128537,,,
19,28.62391889319872,28.178923159817767,0.4449957333809529,1.5546289627263006
20,28.49998217136772,,,
21,28.37244496502375,,,
22,28.241749385406365,27.826812484971036,0.41493690043532894,1.4692322871816976
23,28.108347705319623,,,
24,27.972701806655188,,,
25,27.835278810012785,,,
26,27.69655085025829,,,
27,27.5569915000243,,,
28,27.41707428791529,27.006827871264097,0.4102464166511943,1.496317266908453
29,27.277269869001547,,,
30,27.13804378980009,,,
31,26.99985452093077,,,
32,26.86314929801205,,,
33,26.728364245681544,,,
34,26.5959186419444,,,
35,26.46621552687817,,,
36,26.33963712000436,25.863888772508208,0.4757483474961539,1.8062069167036237
37,26.21654379436959,25.775380320050044,0.44116347431954495,1.6827674836920787
38,26.097270676586707,,,
39,25.982127469732657,,,
40,25.871393389724822,28.884054219050704,3.012660829325881,11.644756754858053
41,25.746324211103385,,,
42,25.626139149583476,,,
43,25.51158710954013,28.363427922534783,2.851840812994652,11.178609942021984
44,25.403365079781874,28.20647238435354,2.8031073045716646,11.034393655203626
45,25.30211077472701,,,
46,25.208395146949744,28.059944384370624,2.8515492374208797,11.311903121154945
47,25.1227158156333,27.97563054737506,2.8529147317417625,11.355916902767566
48,25.04549058263109,27.82095389140436,2.775463308773272,11.081688736007594
49,24.977052620242944,,,
50,24.917645637072283,27.756521215070787,2.838875577998504,11.393032950813165
51,24.867420794111798,27.613380322720136,2.7459595286083385,11.04239780773138
52,24.826434375056145,27.53102926919264,2.704594894136495,10.894012620893644
53,24.794646312679223,,,
54,24.771920991209925,,,
55,24.75802731914165,,,
56,24.75264159883594,,,
57,24.75535159529997,,,
58,24.765659053801144,,,
59,24.78298821411714,27.158290951483604,2.3753027373664644,9.58440813046677
60,24.80668917822684,32.02597230442132,7.219283126194483,29.102163026781273
61,24.836047336859053,27.181453706556105,2.345406369697052,9.443557333764002
62,24.87028869373796,,,
63,24.908590524727455,32.26822299868054,7.359632473953088,29.546563329815772
64,24.950089646392165,32.333947544585,7.3838578981928364,29.594514500113462
65,24.993891126073613,,,
66,25.03907694483033,31.63897741306526,6.599900468234928,26.358401640670586
67,25.08471811951944,,,
68,25.129881881857965,,,
69,25.173645323113487,30.214563332422276,5.04091800930879,20.02458501582371
70,25.2151009723822,30.200050228349784,4.984949255967585,19.769697775263882
71,25.25337239270012,,,
72,25.287619482748678,28.19023525233964,2.9026157695909625,11.478406544242487
73,25.317057499106504,,,
74,25.340958021136856,,,
75,25.358670332144374,37.83352549339465,12.474855161250279,49.193648554345884
76,25.369626762106307,25.057378401740667,0.31224836036563985,1.2307960353284895
77,25.37336382770292,25.06961434116943,0.30374948653349065,1.1971195013640785
78,25.3700321527714,25.053389704262965,0.3166424485084356,1.248096362675858
79,25.36005922340829,25.048388789685667,0.3116704337226217,1.228981490054795
80,25.343511385184296,25.01212271407068,0.3313886711136149,1.307587832155505
81,25.320497894955395,24.948437710234508,0.37206018472088687,1.4694031146797175
82,25.291172010420013,24.924269355230603,0.3669026551894099,1.4507143245012342
83,25.2557296690788,24.876830302227653,0.37889936685114733,1.500251118521604
84,25.21440802041201,,,
85,25.16748662673016,24.772832346880406,0.3946542798497532,1.5681116104402513
86,25.115282996413978,24.72361621625029,0.39166678016368905,1.559475878570081
87,25.05815429451744,24.66846588617926,0.38968840833818064,1.5551361195961744
88,24.996494022724768,24.587437353849506,0.4090566688752624,1.6364561706268945
89,24.93073012030228,24.51124323539153,0.41948688491075004,1.682609706520957
90,24.86132496906989,24.469107379602622,0.39221758946726837,1.5776214258702157
91,24.78876977122057,24.38691078153706,0.4018589896835074,1.6211332526475775
92,24.713584181945368,24.301474197922943,0.4121099840224254,1.6675443795946618
93,24.636314282888417,24.24530022153856,0.39101406134985695,1.5871451259307996
94,24.55752700010747,24.14241558486051,0.41511141524695816,1.6903632651819605
95,24.477807935208247,24.06794017807787,0.40986775713037815,1.6744463320215655
96,24.397759672006504,23.990042262808863,0.407717409197641,1.6711264258637966
97,24.31799313899335,23.897221630721983,0.42077150827136833,1.7302887860292664
98,24.239128801403023,23.866286649570807,0.3728421518322165,1.5381829721975626
99,24.16178880980899,23.760638752633305,0.4011500571756841,1.660266383144731
100,24.086593876845797,23.66556011016981,0.42103376667598624,1.7480004388695316
101,24.014157762776406,23.62712917768628,0.3870285850901247,1.6116683704395647
102,23.94508225307612,23.53282235962851,0.41225989344760805,1.7216891931730445
103,23.879953761621174,23.52486858724029,0.35508517438088205,1.486959220798658
104,23.819335835703164,23.41722367339236,0.4021121623108037,1.6881753760240104
105,23.76376542294913,23.41336451396996,0.35040090897917153,1.4745176227029346
106,23.71374819712772,,,
107,23.669752945550123,23.333339311982375,0.3364136335677479,1.4212807135825773
108,23.63220696679088,23.260814646543604,0.3713923202472742,1.5715515726871072
109,23.60149158379042,23.294517436874923,0.30697414691549696,1.3006557057026336
110,23.577939295670102,23.26191094381709,0.3160283518530136,1.3403561180219412
111,23.56182853924487,23.25750408660329,0.3043244526415805,1.2915994704515141
112,23.553381853783872,,,
113,23.5527630197717,23.27799647979021,0.2747665399814885,1.1666000279917554
114,23.560075245884143,20.59234867777454,2.967726568109601,12.596422282768607
115,23.57535947858984,20.5691838156002,3.0061756629896372,12.751346021763618
116,23.57535947858984,,,
117,23.57535947858984,,,
118,23.57535947858984,,,
119,23.57535947858984,20.625682042002364,2.949677436587475,12.511696541748385
120,23.57535947858984,20.679557135092924,2.8958023434969142,12.28317365055138
121,23.57535947858984,20.72406536269172,2.851294115898117,12.094382350723194
122,23.57535947858984,,,
123,23.57535947858984,20.83611049742886,2.73924898116098,11.619118612586382
124,23.57535947858984,,,
125,23.57535947858984,,,
126,23.57535947858984,21.10305646423179,2.4723030143580473,10.486809402008442
127,23.57535947858984,,,
128,23.57535947858984,,,
129,23.57535947858984,,,
130,23.57535947858984,,,
131,23.57535947858984,,,
132,23.57535947858984,21.68469214598,1.890667332609837,8.019675518953857
133,23.57535947858984,,,
134,23.57535947858984,22.088221228848603,1.4871382497412355,6.308019400899455
135,23.57535947858984,,,
136,23.57535947858984,22.47051898815023,1.10484049043961,4.686420546176529
137,23.57535947858984,22.650934457129363,0.9244250214604754,3.921149207926182
138,23.57535947858984,22.79101582627123,0.7843436523186078,3.3269637013633493
139,23.57535947858984,23.118559531233583,0.45679994735625584,1.9376160425935502
140,23.57535947858984,,,
141,23.57535947858984,23.4901747170986,0.08518476149123799,0.36132963982415306
142,23.57535947858984,23.677297346051517,0.10193786746167888,0.4323915720320389
143,23.57535947858984,23.85785996676937,0.282500488179533,1.1982870862948587
144,23.57535947858984,24.12768216975204,0.5523226911621997,2.342796476396452
145,23.57535947858984,24.407525653440786,0.832166174850947,3.529813301920956
