Frame,X,Y,Z
0,-7.841735747514243,2.593490728995596,28.31744715886869
1,-7.841110260101454,2.5932838620648035,28.315188448892926
2,-7.801515702773886,2.614120444908527,28.319706229228967
3,-7.814665196584636,2.6320934996329455,28.29337281500788
4,-7.755101988060531,2.6122448801888103,28.299387562589203
5,None,None,None
6,None,None,None
7,-7.509006803700895,2.5302088142905186,28.294876262195434
8,-7.427269304716736,2.4825393292477855,28.216908292524813
9,-7.300958518338341,2.4944941604322666,28.122278190622854
10,-7.179844667035329,2.4946917910885467,28.124506227225652
11,-7.060203359994398,2.3939770013774107,28.132678716101818
12,-6.902917167749099,2.4018922308834587,27.988503359656853
13,None,None,None
14,-6.583547378876209,2.3354479998459947,27.918066189193496
15,-6.412563757581041,2.331841366393106,27.87495230634766
16,-6.22291695083459,2.2810692359972458,27.746405942809655
17,-6.015613574997474,2.218382414700065,27.713192279208464
18,None,None,None
19,-5.523607445371808,2.106123702192128,27.55187315206376
20,None,None,None
21,None,None,None
22,-4.8104735917987105,1.9517905147052144,27.338276293194745
23,None,None,None
24,None,None,None
25,None,None,None
26,None,None,None
27,None,None,None
28,-3.1474618257171896,1.5833857037350278,26.776017729246966
29,None,None,None
30,None,None,None
31,None,None,None
32,None,None,None
33,None,None,None
34,None,None,None
35,None,None,None
36,-0.5776397479649705,0.9875776336175303,25.83857126808341
37,-0.26004933810833863,0.9287476361012094,25.757329691049282
38,None,None,None
39,None,None,None
40,0.41636171134996075,0.8743595938349176,28.867814713882506
41,None,None,None
42,None,None,None
43,1.5924714781170033,0.6737379330495012,28.31067210975006
44,1.9475394115072489,0.6694666727056168,28.131192455778717
45,None,None,None
46,2.71826331351593,0.6241937979184727,27.920993992245442
47,3.08715510453103,0.6214403132497528,27.797827070130154
48,3.5020338135989677,0.6566313400498064,27.59184788808682
49,None,None,None
50,4.232058682028916,0.711935105388042,27.422751460789897
51,4.535548992430001,0.8050108601282685,27.226449010099174
52,4.86335542725213,0.8789196555274935,27.08381152734021
53,None,None,None
54,None,None,None
55,None,None,None
56,None,None,None
57,None,None,None
58,None,None,None
59,7.426071914686691,1.6732162035623177,26.069648460604036
60,9.181988225508864,2.1409924468133648,30.606700991986482
61,8.130536079996668,2.0139860014670647,25.858647857910505
62,None,None,None
63,10.475516417026247,2.8270745142183804,30.38929780334265
64,10.975792623883313,3.0767132404921416,30.258056377257006
65,None,None,None
66,11.500344978745119,3.545060470512257,29.260886920507332
67,None,None,None
68,None,None,None
69,12.098684130929708,4.184210498788089,27.36848666204943
70,12.44834081281474,4.521331332956297,27.141101815889648
71,None,None,None
72,12.258378507345418,4.81707542517386,24.924231268006853
73,None,None,None
74,None,None,None
75,17.666666526455025,5.4047618618669695,33.015952118921014
76,12.236497531256097,3.3046337281863605,21.615266282378208
77,12.230591039385917,3.3072516586094576,21.632389893603662
78,12.198894964191641,3.3071173048703684,21.63151109973865
79,12.172640755990491,3.308461333679466,21.640302252704274
80,12.085390088767946,3.2789818070300627,21.65174143978275
81,11.959747035684904,3.2631685776215993,21.65042091641408
82,11.888931771525733,3.249537199050397,21.663633402919302
83,11.783647327812997,3.2194049728507657,21.671127639334813
84,None,None,None
85,11.504973036334723,3.193217006003107,21.705579537815336
86,11.350371460241382,3.135461729348448,21.739253581178065
87,11.152060479498363,3.1257183597467244,21.780602401557744
88,10.993864973120052,3.062576671083443,21.77837534610912
89,10.773263377335448,3.0196592240122713,21.808702375839044
90,10.57885979701131,2.9797384525113824,21.861978412401896
91,10.339979390605658,2.9362384223704616,21.890288887894883
92,10.074464526790303,2.8467874643991435,21.930859851435336
93,9.830501424187949,2.790593952672708,21.986550661094682
94,9.524990647848247,2.746372303462911,22.013364636086212
95,9.256844584978001,2.6720788492720007,22.055307011428603
96,8.97099459943204,2.6132204516995636,22.09557563267216
97,8.649834752314742,2.5534567534508463,22.130011726923033
98,8.335629260406574,2.4525986093119343,22.22839812793843
99,8.004511518074338,2.390124681749652,22.243719412361006
100,7.617963379437521,2.31431798868988,22.286078648448584
101,7.2878736591850934,2.289553229213016,22.358132227836713
102,6.925754608320163,2.1632893182165547,22.386331335010073
103,6.599442578974384,2.0755003688174964,22.484641378344985
104,6.196688036787087,1.9952686610597168,22.494139790501443
105,5.818058323831874,1.9067586103314549,22.598674890498447
106,None,None,None
107,5.045088058449377,1.7526766956301405,22.713870967564926
108,4.608032772197887,1.6562680070889202,22.739575815742505
109,4.218874703230935,1.6150379723305925,22.8522929090986
110,3.8470997767369495,1.4529818899264015,22.895527242093674
111,3.3785905101156053,1.4408694822551844,22.96563775814709
112,None,None,None
113,2.6152477894045454,1.2160069339269541,23.098634726965614
114,2.313519310175737,1.075712800272795,20.4336803938942
115,1.9029618438177895,1.0178633118095153,20.45565968966523
116,None,None,None
117,None,None,None
118,None,None,None
119,0.4457600535122067,0.8320854332227859,20.604069780125723
120,0.11922226043930417,0.7600419103005641,20.66524148542124
121,-0.2687873059281454,0.8063619177844363,20.70662741729897
122,None,None,None
123,-0.944999995275,0.7799999961,20.800049895999752
124,None,None,None
125,None,None,None
126,-2.028302248428291,0.8173755329487142,20.98944685692581
127,None,None,None
128,None,None,None
129,None,None,None
130,None,None,None
131,None,None,None
132,-4.19647021489089,1.255877947522091,21.237661871834852
133,None,None,None
134,-4.897049896007814,1.4567173741289068,21.48921575726948
135,None,None,None
136,-5.659819599582382,1.6885649634113182,21.680392387162712
137,-6.010912403416908,1.8205374381106043,21.762798700903723
138,-6.3512650121607335,1.965119125049732,21.799773897061694
139,-6.774417415835176,2.1417947333436738,21.99972224359757
140,None,None,None
141,-7.469326643554704,2.4897755478515684,22.131391403457272
142,-7.837713958294356,2.687216214272351,22.180250641934766
143,-8.147860366187325,2.85495894720737,22.240932153505867
144,-8.52957103181604,3.0796749850224265,22.35860163079083
145,-8.901011161758557,3.323692692459935,22.48226802855326
